Journal Title,Publisher,ISSN,ISSN Online,Year Inception,FoR,2022 rating,rating,h_index,impact_factor
Australasian Dispute Resolution Journal,Thomson Reuters,1441-7847	,1441-7847	,1990	,4801,C,C,NA,NA
Australasian Journal of Business and Behavioural Sciences,Australasian Business and Behavioural Sciences Association,1832-0422	,	,2005	,3501,C ,C,NA,NA
Australasian Journal of Economics Education,University of Queensland,1448-448X	,1448-4498	,2004	,3801,C ,C,NA,NA
Australasian Journal of Environmental Management,Taylor & Francis Online,1448-6563	,2159-5356	,2003	,3507,A ,A,39,1.0555555555555556
Australasian Journal of Information Systems,Australasian Association for Information Systems (AAIS),1449-8618	,1326-2238	,1983	,4609,A ,A,39,2.6721311475409837
Australasian Journal of Natural Resources Law and Policy,University of Wollongong,1320-5323	,	,1993	,4801,B ,B,NA,NA
Australasian Journal of Regional Studies,Australian and New Zealand Regional Science Association,1324-0935	,	,1995	,3599,B ,B,17,1
Australasian Journal on Ageing,Wiley-Blackwell Publishing,1440-6381	,1741-6612	,1982	,3599,B ,B,53,1.0684931506849316
Australasian Marketing Journal,Elsevier ,1441-3582	,1839-3349	,1993	,3506,A,A,67,2.917525773195876
Australasian Parks and Leisure,Universal Magazines,1446-5604	,	,	,3504,C ,C,7,0
Australian Accounting Review,Wiley-Blackwell Publishing,1035-6908	,1835-2561	,1991	,3501,B ,B,57,2.1690140845070425
Australian and New Zealand Journal of Criminology,Sage Publications,0004-8658	,1837-9273	,1968	,4801,A ,A,57,0
Australian and New Zealand Journal of Statistics,Wiley-Blackwell Publishing,1369-1473	,1467-842X	,1959	,4905,A ,A,NA,NA
Australian Bar Review,LexisNexis,0814-8589	,	,1986	,4801,A ,A,5,0
Australian Bulletin of Labour,"National Institute of Labour Studies, Flinders University ",0311-6336	,0311-6336	,1974	,3505,B ,B,18,0
Australian Business Law Review,Thomson Reuters,0310-1053	,	,1973	,4801,A ,A,8,0
Australian Commodities,Australian Bureau of Agricultural and Resource Economics,1321-7844	,	,1948	,3801,C ,C,11,0
Australian Economic History Review,Wiley-Blackwell Publishing,0004-8992	,1467-8446	,1956	,3801,B,B,41,0.9090909090909091
Australian Economic Papers,Wiley-Blackwell Publishing,0004-900X	,1467-8454	,1962	,3801,B,B,48,1.0945945945945945
Australian GST Journal,Thomson Reuters,1445-4068	,	,1998	,4801,C ,C,NA,NA
Australian Intellectual Property Journal,Thomson Reuters,1038-1635	,	,1990	,4801,C ,C,4,0
Australian Journal of Actuarial Practice (formerly Australian Actuarial Journal),Institute of Actuaries of Australia,2203-2290	,2203-5354	,1997	,3502,C ,C,NA,NA
Australian Journal of Asian Law,Federation Press,1443-0738	,	,2000	,4801,C ,C,10,0
Australian Journal of Business and Management Research,New South Wales Research Centre Australia,NA,1839-0846,2011,3501,C,C,25,0.2692307692307692
Australian Journal of Career Development,Sage Publications ,1038-4162	,2200-6974	,1992	,3505,B ,B,26,1.2564102564102564
Australian Journal of Competition and Consumer Law (formerly Trade Practices Law Journal),Thomson Reuters,1838-9260	,	,1993	,4801,B ,B,NA,NA
Australian Journal of Corporate Law,LexisNexis,1037-4124	,	,1991	,4801,A,A,7,0.5
Australian Journal of Environmental Education,Cambridge University Press,0814-0626	,2049-775X	,1984	,3507,B ,B,34,2.0595238095238093
Australian Journal of Human Rights,University of New South Wales ,1323-238X	,2573-573X	,1994	,3599,C ,C,21,0.32857142857142857
Australian Journal of International Affairs,Taylor & Francis Online,1035-7718	,1465-332X	,1947	,3599,A ,A,45,1.5517241379310345
Australian Journal of Labour Economics: a journal of labour economics and labour relations,Centre for Labour Market Research,1328-1143	,	,1989	,3801,B ,B,NA,NA
Australian Journal of Labour Law,LexisNexis,1030-7222	,	,1988	,4801,A ,A,9,0.3333333333333333
Australian Journal of Management,Sage Publications,0312-8962	,1327-2020	,1976	,3502,A ,A,66,1.8987341772151898
Australian Journal of Political Science,Taylor & Francis Online,1036-1146	,1363-030X	,1956	,3599,A ,A,51,1.9636363636363636
Australian Journal of Psychology,Wiley-Blackwell Publishing,0004-9530	,1742-9536	,1949	,3507,B ,B,75,4.2727272727272725
Australian Journal of Public Administration,Wiley-Blackwell Publishing,0313-6647	,1467-8500	,1937	,3599,A ,A,68,2.107142857142857
Australian Journal of Social Issues,Wiley-Blackwell Publishing,0157-6321	,0004-9557	,1961	,3507,B ,B,52,1.8773584905660377
Australian Law Journal,Thomson Reuters,0004-9611	,	,1927	,4801,A ,A,5,0
Australian Property Law Journal,University of Western Australia,1038-5959	,	,1993	,4801,B ,B,6,0
Australian Psychologist,Wiley-Blackwell Publishing,0005-0067	,1742-9544	,1966	,3507,B ,B,75,2.157303370786517
Australian Review of Public Affairs,The University of Sydney ,1832-1526	,	,2000	,3599,C ,C,7,0
Australian Tax Forum,Tax Institute,0812-695X	,	,1984	,4801,A* ,A*,6,0
Australian Tax Law Bulletin,LexisNexis,2203-9481	,	,2014	,4801,C ,C,NA,NA
Australian Tax Review,Thomson Reuters,0311-094X	,	,1971	,4801,A,A,NA,NA
Austrian Economic Quarterly,Austrian Institute of Economic Research,1025-6954	,1605-4709	,1996	,3899,C ,C,8,0
Automation in Construction,Elsevier ,0926-5805	,1872-7891	,1992	,3504,A* ,A*,190,11.451395572666025
Baltic Journal of Economics,Taylor & Francis Online,1406-099X	,2334-4385	,2000	,3801,C ,C,18,0.9411764705882353
Baltic Journal of Management,Emerald Group Publishing,1746-5265	,1746-5273	,2006	,3507,C ,C,43,2.9166666666666665
Bank Parikrama: A Journal of Banking and Finance,Bangladesh Institute of Bank Management,1019-7044	,	,	,3502,C ,C,NA,NA
Banking and Finance Law Review,HAB Press Limited,0832-8722	,	,1986	,4801,B ,B,NA,NA
Banking Law Journal,LexisNexis,0005-5506	,	,1989	,4801,C ,C,2,0
Banks and Bank Systems,Business Perspectives Ltd,1816-7403	,1991-7074‎	,2006	,3502,C ,C,20,1.8873239436619718
Basic and Applied Social Psychology,Taylor & Francis Online,0197-3533,1532-4834,1980,3507,B,B,109,2.3846153846153846
Basic Income Studies,De Gruyter,2194-6094,1932-0183	,2006	,3801,C ,C,24,1.4375
Bayesian Analysis,International Society for Bayesian Analysis,1936-0975	,1931-6690	,2006,4905,A ,A,75,4.259615384615385
Behavioral Research in Accounting,American Accounting Association,1050-4753	,1558-8009	,1989	,3501,A ,A,55,0.8333333333333334
Behaviour and Information Technology,Taylor & Francis Online,0144-929X	,1362-3001	,1982	,4609,A ,A,NA,NA
Benchmarking: an international journal,Emerald Group Publishing,1463-5771	,1758-4094	,1994	,3507,B ,B,NA,NA
Berkeley Business Law Journal,University of California Berkeley School of Law,1548-7067	,	,2004	,4801,B ,B,8,0.1111111111111111
Berkeley Technology Law Journal,University of California Berkeley School of Law,1086-3818	,	,1986	,4801,A ,A,26,0.36363636363636365
Bernoulli,Bernoulli Society for Mathematical Statistics and Probability,1350-7265	,1573-9759	,1995	,4905,A ,A,95,1.6342592592592593
BFuP - Betriebswirtschaftliche Forschung und Praxis,NWB Verlag GmbH & Co. KG,0340-5370	,	,1949	,3801,C ,C,1,0
Bio-based and Applied Economics Journal,Firenze University Press,2280-6180	,2280-6172	,2012	,3899,C ,C,9,0
Bioinformatics,Oxford University Press ,1367-4803	,1460-2059	,1998	,4905,A ,A,517,5.946838276440962
Biometrical Journal,Wiley-Blackwell Publishing,0323-3847	,1521-4036	,1977	,4905,B ,B,89,0.9205776173285198
Biometrika,Oxford University Press ,0006-3444	,1464-3510	,1901	,4905,A* ,A*,322,1.920863309352518
Biostatistics,Oxford University Press ,1465-4644	,1468-4357	,2000	,4905,A,A,117,1.6754385964912282
BMC Medical Informatics and Decision Making,BioMed Central Ltd,1472-6947	,	,2001	,4609,B ,B,110,4.450204638472033
Bond Law Review,Bond Faculty of Law Review Editorial Committee,1033-4505	,	,1989	,4801,B ,B,11,0
Boston University Law Review,Boston University School of Law,0006-8047	,	,1921	,4801,A* ,A*,20,1.5
Brazilian Electronic Journal of Economics,"Universidade Federal de Pernambuco, Department of Economics ",1516-4373	,	,1997	,3801,C ,C,NA,NA
Brazilian Journal of Business Economics,Universidade Catolica de Brasilia,1676-8000	,2236-9775	,2001	,3801,C ,C,NA,NA
Brazilian Journal of Rural Economy and Sociology,"Brazilian Society of Rural Economics, Management and Sociology",0103-2003	,1806-9479	,1963	,3899,C ,C,3,0
Briefing Notes in Economics,Parvis Dabir-Alai,0968-7017	,NA,1992	,3803,C ,C,NA,NA
Briefings in Real Estate Finance,Wiley-Blackwell Publishing,1473-1894	,1555-0990	,2001	,3504,C ,C,9,0
British Accounting Review,Elsevier,0890-8389	,1095-8347	,1968	,3501,A*,A*,112,5.858823529411764
British Actuarial Journal,Cambridge University Press,1357-3217	,2044-0456	,1998	,3502,B ,B,33,0.2631578947368421
British Food Journal,Emerald Group Publishing,0007-070X,1758-4108,1899	,3506,B ,B,116,3.862681744749596
British Journal of Educational Technology,Wiley-Blackwell Publishing,0007-1013	,1467-8535	,1970	,4609,A ,A,141,7.57258064516129
British Journal of Health Care Management,Mark Allen Group,1358-0574	,1759-7382	,1995	,3507,C ,C,21,0.3302325581395349
British Journal of Industrial Relations,Wiley-Blackwell Publishing,0007-1080	,1467-8543	,1963	,3505,A* ,A*,103,0.8866666666666667
British Journal of Management,Wiley-Blackwell Publishing,1045-3172	,1467-8551	,1990	,3507,A,A,156,4.892430278884462
British Journal of Mathematical and Statistical Psychology,Wiley-Blackwell Publishing,0007-1102	,2044-8317	,1947	,4905,B ,B,95,1.3611111111111112
British Journal of Political Science,Cambridge University Press,0007-1234	,1469-2112	,1971	,3599,A ,A,164,3.5819209039548023
British Journal of Psychology,Wiley-Blackwell Publishing,0007-1269	,2044-8295	,1904	,3507,A ,A,169,2.6258064516129034
British Journal of Social Psychology,Wiley-Blackwell Publishing ,0144-6665	,2044-8309	,1962	,3507,A ,A,153,3.1865284974093266
British Journal of Sociology,Wiley-Blackwell Publishing,0007-1315	,1468-4446	,1950	,3507,A ,A,221,2.127659574468085
British Tax Review,Sweet & Maxwell ,0007-1870	,	,1956	,4801,A* ,A*,13,0
Brookings Papers on Economic Activity,Brookings Institutions,0007-2303	,1533-4465	,1970	,3801,A ,A,174,1.6031746031746033
Brussels Economic Review,Universite libre de Bruxelles,0008-0195	,	,1958	,3801,C ,C,15,0
Building Research and Information,Taylor & Francis Online,0961-3218	,1466-4321	,1970	,3599,A ,A,116,4
Built Environment Project and Asset Management,Emerald Group Publishing,2044-124X	,2044-1258	,2011	,3599,B ,B,36,2.09009009009009
Bulletin for International Taxation,International Bureau of Fiscal Documentation,1819-5490	,2352-9202	,1946	,4801,B ,B,5,0.25
Bulletin of Applied Economics,Risk Market Journals,2056-3728,2056-3736,2014,3801,C,C,NA,NA
Bulletin of Comparative Labour Relations,Wolters Kluwer,0770-3724	,NA,1975	,3505,C ,C,NA,NA
Bulletin of Economic Research,Wiley-Blackwell Publishing,0307-3378	,1467-8586	,1948	,3801,B ,B,56,0.875
Bulletin of Indonesian Economic Studies,Taylor & Francis Online,0007-4918	,1472-7234	,1965	,3801,B,B,54,1.9056603773584906
Bulletin of Monetary Economics and Banking,Bank Indonesia,1410-8046,2460-9196,1998,3502,C,C,NA,NA
Bulletin of the Czech Econometric Society,The Czech Econometric Society,1212-074X	,	,1994	,3802,C ,C,6,0
Business & Information Systems Engineering,Springer International Publishing,2363-7005,1867-0202	,2009	,4609,A ,A,71,5.461538461538462
Business and Economics Research Journal,Adem Anbar,1309-2448	,	,2010	,3801,C ,C,7,0
Business and Human Rights Journal,Cambridge University Press,2057-0198,2057-0201,2016,4801,C,C,25,2.2626262626262625
Business and Politics,Cambridge University Press,1369-5258	,1469-3569	,1999	,3505,A ,A,46,1.2040816326530612
Business and Professional Ethics Journal,"Institute for Business and Professional Ethics, DePaul University",0277-2027	,2153-7828	,1981	,3507,C ,C,27,0.2549019607843137
Business and Society,Sage Publications,0007-6503	,1552-4205	,1960	,3507,A,A,60,1.9883720930232558
Business and Society Review,Wiley-Blackwell Publishing,0045-3609	,1467-8594	,1900	,3507,C ,C,60,1.9883720930232558
Business and Professional Communication Quarterly,Sage Publications,2329-4906	,2329-4922	,1935	,3507,C ,C,24,1.2857142857142858
Business Economics,Springer International Publishing,0007-666X	,1554-432X	,1965	,3801,B ,B,204,6.705454545454545
Business Ethics Quarterly,Cambridge University Press,1052-150X	,2153-3326	,1991	,3507,A,A,117,1.6341463414634145
Business Ethics: A European review,Wiley-Blackwell Publishing,0962-8770	,1467-8608	,1992	,3507,B,B,NA,NA
Business History,Taylor & Francis Online,0007-6791	,1743-7938	,1958	,3505,A,A,65,0.7133333333333334
Business History Review,Cambridge University Press,0007-6805	,2044-768X	,1926	,3505,A ,A,65,0.5972850678733032
Business Horizons,Elsevier,0007-6813	,1873-6068	,1957	,3507,B,B,167,6.523809523809524
Business Intelligence Journal,Data Warehousing Institute,1547-2825	,1944-9615	,2003,4609,C ,C,11,1.1282051282051282
Business Law Review,Husson University,1533-7421	,	,1968	,4801,C ,C,19,0.5102040816326531
Business Law Today,American Bar Association ,1059-9436	,	,1980	,4801,C ,C,NA,NA
Business Perspectives and Research,Sage Publications,2394-9937,2278-5337,2012,3507,C,C,20,1.5555555555555556
Business Process Management Journal,Emerald Group Publishing,1463-7154	,1758-4116	,1995	,4609,B ,B,109,5.593103448275862
Business Research Quarterly,Asociacion Cientifica de Economia y Direccion de la Empresa,2340-9436,NA,2014	,3507,B,B,43,4.543859649122807
Business Strategy and the Environment,Wiley-Blackwell Publishing,0964-4733	,1099-0836	,1992	,3507,A,A,172,13.404354587869362
Business Strategy Review,Wiley-Blackwell Publishing,0955-6419	,1467-8616	,1990	,3507,B ,B,51,0
Cadernos de Pos-Graduacao em Direito Politico e Economico,NA,1678-2127	,	,2001	,3801,C ,C,NA,NA
California Management Review,Sage Publications,0008-1256	,2162-8564	,1958	,3507,A ,A,221,7.04
Cambridge Journal of Economics,Oxford University Press ,0309-166X	,1464-3545	,1977	,3801,A ,A,130,2.032
"Cambridge Journal of Regions, Economy and Society",Oxford University Press ,1752-1378	,1752-1386	,2008	,3801,B,B,78,5.011904761904762
Cambridge Law Journal,Cambridge University Press,0008-1973	,1469-2139	,1921	,4801,A* ,A*,47,0.35294117647058826
Canadian Bar Review,Canadian Bar Association,0008-3003	,	,1923	,4801,B ,B,14,0
Canadian Business Law Journal,Canada Law Book,0319-3322	,	,1976	,4801,A ,A,NA,NA
Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l Administration,Wiley-Blackwell Publishing,0825-0383	,1936-4490	,1984	,3507,B ,B,0,0
Canadian Journal of Agricultural Economics / Revue Canadienne d Agroeconomie,Wiley-Blackwell Publishing,0008-3976	,1744-7976	,1952	,3801,A ,A,NA,NA
Canadian Journal of Development Studies / Revue canadienne d'etudes du developpement,Taylor & Francis Online,0225-5189	,2158-9100	,1980	,3801,B ,B,NA,NA
Canadian Journal of Economics / Revue Canadienne D'Economique,Wiley-Blackwell Publishing,0008-4085	,1540-5982	,1968	,3801,A ,A,NA,NA
Canadian Journal of Marketing Research,Marketing Research and Intelligence Association,0829-4836	,	,1980	,3506,C,C,NA,NA
Canadian Journal of Statistics,Wiley-Blackwell Publishing,0319-5724	,1708-945X	,1973	,4905,A,A,80,0.764367816091954
Canadian Journal of Transportation,University of New Brunswick ,1715-2127	,	,2007	,3509,C ,C,NA,NA
Canadian Public Policy / Analyse de Politiques,University of Toronto Press,0317-0861	,1911-9917	,1975	,3599,B ,B,NA,NA
Canadian Tax Journal,Canadian Tax Foundation,0008-5111	,	,1953	,4801,A* ,A*,5,0.14666666666666667
Canberra Law Review,University of Canberra,1320-6702	,	,1994	,4801,C ,C,NA,NA
Canterbury Law Review,University of Canterbury,0112-0581	,	,1980	,4801,B ,B,NA,NA
Capital and Class,Sage Publications,0309-8168	,2041-0980	,1970	,3899,B ,B,NA,NA
Capital Markets Law Journal,Oxford University Press ,1750-7219	,1750-7227	,2006	,4801,A ,A,20,0.9838709677419355
Capital Markets Review,Malaysian Finance Association and Bursa Malaysia,1823-4445,NA,1993,3502,C,C,11,0
Capitalism and Society,SSRN,1932-0213	,	,2006	,3801,C ,C,19,0
Career Development and Transition for Exceptional Individuals,Sage Publications,0885-7288	,1557-5047	,1978	,3507,C ,C,34,1.5227272727272727
Career Development International,Emerald Group Publishing,1362-0436	,1758-6003	,1996	,3505,B,B,98,3.9740259740259742
Case Studies on Transport Policy,Elsevier,2213-624X	,	,2013	,3509,C ,C,41,3
Cayapa: revista venezolana de economia social,Universidad de los Andes ,1317-5734	,	,2001	,3801,C ,C,NA,NA
Central Bank Review,Elsevier ,1303-0701	,1305-8800	,2001	,3502,C ,C,19,2.52
Central European Journal of Economic Modelling and Econometrics,Central European Journal of Economic Modelling and Econometrics,2080-0886	,2080-119X	,2009	,3802,C ,C,8,0.1111111111111111
Central European Journal of Operations Research,Springer International Publishing,1435-246X	,1613-9178	,1993	,3509,C ,C,46,1.8793103448275863
CESifo Economic Studies,Oxford University Press ,1610-241X	,1612-7501	,1955	,3801,C ,C,50,1.3571428571428572
Charity Law and Practice Review,Key Haven Publications,0966-4041,NA,1993,4801,B,B,NA,NA
Chilean Journal of Statistics,Chilean Statistical Society,0718-7912,0718-7920,2010	,4905,C,C,3,0.07142857142857142
China Accounting and Finance Review,Hong Kong Polytechnic University,1029-807X	,2307-3055	,1999	,3501,A,A,8,0.96875
China Agricultural Economic Review,Emerald Group Publishing,1756-137X	,1756-1388	,2008	,3801,C,C,44,4.157303370786517
China and World Economy,Wiley-Blackwell Publishing,1671-2234	,1749-124X	,1993	,3801,B ,B,NA,NA
China Economic Review,Elsevier,1043-951X	,1873-7781	,1989	,3801,A ,A,116,6.070247933884297
China Finance Review International,Emerald Group Publishing Limited,2044-1398	,2044-1401	,2010	,3502,C ,C,29,9.85483870967742
China Information,Sage Publications,0920-203X	,1741-590X	,1986	,3599,B ,B,76,4.276923076923077
